env,algorithm,config,eval_tau,run,mc_mean,mc_stddev,mc_cvar,cvar_regret,optimal_action_hit,catastrophic_count
bettinggame,CATSO,"atoms=25,optimism=2.000000,p=4.000000,tau=0.100000",0.10000000000000001,0,0.19195639133453368,0.24952673678932616,-0.0625,0.015625,0,20
bettinggame,CATSO,"atoms=25,optimism=2.000000,p=4.000000,tau=0.100000",0.10000000000000001,1,0.18108111619949341,0.24259543952235127,-0.0625,0.0078125,1,30
bettinggame,CATSO,"atoms=25,optimism=2.000000,p=4.000000,tau=0.200000",0.20000000000000001,0,0.19909093856811524,0.25066818100561061,-0.062428474426269531,0.015624999999999991,0,39
bettinggame,CATSO,"atoms=25,optimism=2.000000,p=4.000000,tau=0.200000",0.20000000000000001,1,0.15924758553504945,0.15138162499160629,-0.018369615077972412,0.0078124999999999957,1,1
bettinggame,CATSO,"atoms=25,optimism=2.000000,p=4.000000,tau=0.250000",0.25,0,0.31243871688842773,0.35701926326678179,-0.0423472785949707,0.014062499999999992,0,17
bettinggame,CATSO,"atoms=25,optimism=2.000000,p=4.000000,tau=0.250000",0.25,1,0.18299748182296752,0.19756729271049464,-0.022558584213256835,0.0093749999999999944,1,2
bettinggame,CATSO,"atoms=25,optimism=4.000000,p=1.000000,tau=0.050000",0.050000000000000003,0,0.15539841651916503,0.20846574436414719,-0.0625,0.015625,0,18
bettinggame,CATSO,"atoms=25,optimism=4.000000,p=1.000000,tau=0.050000",0.050000000000000003,1,0.13948785901069641,0.16782758537590003,-0.0625,0.0078125,1,13
bettinggame,CATSO,"atoms=25,optimism=4.000000,p=1.000000,tau=0.100000",0.10000000000000001,0,0.12874876976013183,0.14185915291014076,-0.060932517051696777,0.015625,0,16
bettinggame,CATSO,"atoms=25,optimism=4.000000,p=1.000000,tau=0.100000",0.10000000000000001,1,0.1581256866455078,0.19307016613472996,-0.0625,0.015625,0,22
bettinggame,CATSO,"atoms=25,optimism=4.000000,p=1.000000,tau=0.200000",0.20000000000000001,0,0.14159630775451659,0.13002923686402787,-0.029244709014892577,0.015624999999999991,0,4
bettinggame,CATSO,"atoms=25,optimism=4.000000,p=1.000000,tau=0.200000",0.20000000000000001,1,0.088624072074890134,0.074907461751046414,-0.022531700134277344,0.0078124999999999957,1,3
bettinggame,CATSO,"atoms=25,optimism=4.000000,p=1.000000,tau=0.250000",0.25,0,0.13099697113037109,0.1556875684642578,-0.047405052185058597,0.0046874999999999972,1,19
bettinggame,CATSO,"atoms=25,optimism=4.000000,p=1.000000,tau=0.250000",0.25,1,0.077207031250000002,0.072416775094627114,-0.036757812500000001,0,1,19
bettinggame,CATSO,"atoms=25,optimism=4.000000,p=2.000000,tau=0.050000",0.050000000000000003,0,0.12400038719177246,0.13404534202329019,-0.0625,0.0078125,1,14
bettinggame,CATSO,"atoms=25,optimism=4.000000,p=2.000000,tau=0.050000",0.050000000000000003,1,0.16970190286636352,0.18762912372116178,-0.061722373962402342,0.0078125,1,8
bettinggame,CATSO,"atoms=25,optimism=4.000000,p=2.000000,tau=0.100000",0.10000000000000001,0,0.098392803668975834,0.13140929854217837,-0.055107402801513675,0.0078125,1,8
bettinggame,CATSO,"atoms=25,optimism=4.000000,p=2.000000,tau=0.100000",0.10000000000000001,1,0.13469170093536376,0.1980601810816999,-0.0625,0.0078125,1,38
bettinggame,CATSO,"atoms=25,optimism=4.000000,p=2.000000,tau=0.200000",0.20000000000000001,0,0.08217552423477173,0.078593614015498164,-0.047452259063720706,0.0078124999999999957,1,5
bettinggame,CATSO,"atoms=25,optimism=4.000000,p=2.000000,tau=0.200000",0.20000000000000001,1,0.1168967068195343,0.12240079684985543,-0.053372621536254883,0.0078124999999999957,1,24
bettinggame,CATSO,"atoms=25,optimism=4.000000,p=2.000000,tau=0.250000",0.25,0,0.073491156101226807,0.088784433111480113,-0.038362579345703127,0.0046874999999999972,1,14
bettinggame,CATSO,"atoms=25,optimism=4.000000,p=2.000000,tau=0.250000",0.25,1,0.070806694030761716,0.064515256235899793,0.0054055023193359374,0,1,2
